[2019-05-12 21:31:51]: Path: save/1557667911/ is created
[2019-05-12 21:32:09]: Start train process.
[2019-05-12 22:29:54]: | epoch   8 |   800/ 3494 batches | rec loss 0.3824 | dis loss 0.2654 |
[2019-05-12 22:30:28]: | epoch   8 |  1000/ 3494 batches | rec loss 0.3654 | dis loss 0.1598 |
[2019-05-12 22:31:02]: | epoch   8 |  1200/ 3494 batches | rec loss 0.3806 | dis loss 0.1528 |
[2019-05-12 22:31:36]: | epoch   8 |  1400/ 3494 batches | rec loss 0.3356 | dis loss 0.1492 |
[2019-05-12 22:32:10]: | epoch   8 |  1600/ 3494 batches | rec loss 0.2985 | dis loss 0.1531 |
[2019-05-12 22:32:45]: | epoch   8 |  1800/ 3494 batches | rec loss 0.3230 | dis loss 0.1768 |
[2019-05-12 22:33:19]: | epoch   8 |  2000/ 3494 batches | rec loss 0.3609 | dis loss 0.2174 |
[2019-05-12 22:33:51]: | epoch   8 |  2200/ 3494 batches | rec loss 0.3491 | dis loss 0.2093 |
[2019-05-12 22:34:08]: | epoch   8 |  2400/ 3494 batches | rec loss 0.3877 | dis loss 0.1281 |
[2019-05-12 22:34:26]: | epoch   8 |  2600/ 3494 batches | rec loss 0.3950 | dis loss 0.1850 |
[2019-05-12 22:34:43]: | epoch   8 |  2800/ 3494 batches | rec loss 0.4193 | dis loss 0.2005 |
[2019-05-12 22:35:01]: | epoch   8 |  3000/ 3494 batches | rec loss 0.3862 | dis loss 0.1566 |
[2019-05-12 22:35:19]: | epoch   8 |  3200/ 3494 batches | rec loss 0.3389 | dis loss 0.0879 |
[2019-05-12 22:35:36]: | epoch   8 |  3400/ 3494 batches | rec loss 0.3108 | dis loss 0.0584 |
[2019-05-12 22:35:45]: | end of epoch   8 | time: 487.96s |
[2019-05-12 22:35:45]: | epoch   9 |     0/ 3494 batches | rec loss 0.3381 | dis loss 0.1505 |
[2019-05-12 22:36:02]: | epoch   9 |   200/ 3494 batches | rec loss 0.2915 | dis loss 0.1317 |
[2019-05-12 22:36:20]: | epoch   9 |   400/ 3494 batches | rec loss 0.3653 | dis loss 0.2148 |
[2019-05-12 22:36:37]: | epoch   9 |   600/ 3494 batches | rec loss 0.3135 | dis loss 0.1230 |
[2019-05-12 22:36:55]: | epoch   9 |   800/ 3494 batches | rec loss 0.3815 | dis loss 0.2106 |
[2019-05-12 22:37:12]: | epoch   9 |  1000/ 3494 batches | rec loss 0.3700 | dis loss 0.1908 |
[2019-05-12 22:37:30]: | epoch   9 |  1200/ 3494 batches | rec loss 0.3552 | dis loss 0.1165 |
[2019-05-12 22:37:47]: | epoch   9 |  1400/ 3494 batches | rec loss 0.3262 | dis loss 0.1324 |
[2019-05-12 22:38:05]: | epoch   9 |  1600/ 3494 batches | rec loss 0.2803 | dis loss 0.1661 |
[2019-05-12 22:38:22]: | epoch   9 |  1800/ 3494 batches | rec loss 0.3157 | dis loss 0.1732 |
[2019-05-12 22:38:40]: | epoch   9 |  2000/ 3494 batches | rec loss 0.3329 | dis loss 0.1882 |
[2019-05-12 22:38:57]: | epoch   9 |  2200/ 3494 batches | rec loss 0.3440 | dis loss 0.1960 |
[2019-05-12 22:39:14]: | epoch   9 |  2400/ 3494 batches | rec loss 0.3811 | dis loss 0.1238 |
[2019-05-12 22:39:32]: | epoch   9 |  2600/ 3494 batches | rec loss 0.3912 | dis loss 0.1821 |
[2019-05-12 22:39:50]: | epoch   9 |  2800/ 3494 batches | rec loss 0.4157 | dis loss 0.2137 |
[2019-05-12 22:40:07]: | epoch   9 |  3000/ 3494 batches | rec loss 0.3510 | dis loss 0.1918 |
[2019-05-12 22:40:25]: | epoch   9 |  3200/ 3494 batches | rec loss 0.3596 | dis loss 0.0871 |
[2019-05-12 22:40:42]: | epoch   9 |  3400/ 3494 batches | rec loss 0.3226 | dis loss 0.0693 |
[2019-05-12 22:40:51]: | end of epoch   9 | time: 306.60s |
[2019-05-12 22:40:51]: | epoch  10 |     0/ 3494 batches | rec loss 0.3272 | dis loss 0.1746 |
[2019-05-12 22:41:09]: | epoch  10 |   200/ 3494 batches | rec loss 0.2997 | dis loss 0.1600 |
[2019-05-12 22:41:27]: | epoch  10 |   400/ 3494 batches | rec loss 0.3475 | dis loss 0.2028 |
[2019-05-12 22:41:44]: | epoch  10 |   600/ 3494 batches | rec loss 0.3082 | dis loss 0.1318 |
[2019-05-12 22:42:01]: | epoch  10 |   800/ 3494 batches | rec loss 0.3503 | dis loss 0.2278 |
[2019-05-12 22:42:19]: | epoch  10 |  1000/ 3494 batches | rec loss 0.3593 | dis loss 0.1860 |
[2019-05-12 22:42:37]: | epoch  10 |  1200/ 3494 batches | rec loss 0.3454 | dis loss 0.1121 |
[2019-05-12 22:42:54]: | epoch  10 |  1400/ 3494 batches | rec loss 0.3181 | dis loss 0.1273 |
[2019-05-12 22:43:12]: | epoch  10 |  1600/ 3494 batches | rec loss 0.2772 | dis loss 0.1592 |
[2019-05-12 22:43:29]: | epoch  10 |  1800/ 3494 batches | rec loss 0.2829 | dis loss 0.1426 |
[2019-05-12 22:43:47]: | epoch  10 |  2000/ 3494 batches | rec loss 0.3170 | dis loss 0.1843 |
[2019-05-12 22:44:04]: | epoch  10 |  2200/ 3494 batches | rec loss 0.3568 | dis loss 0.2154 |
[2019-05-12 22:44:22]: | epoch  10 |  2400/ 3494 batches | rec loss 0.3660 | dis loss 0.1416 |
[2019-05-12 22:44:40]: | epoch  10 |  2600/ 3494 batches | rec loss 0.3758 | dis loss 0.1871 |
[2019-05-12 22:44:57]: | epoch  10 |  2800/ 3494 batches | rec loss 0.4036 | dis loss 0.1989 |
[2019-05-12 22:45:16]: | epoch  10 |  3000/ 3494 batches | rec loss 0.3308 | dis loss 0.1655 |
[2019-05-12 22:45:50]: | epoch  10 |  3200/ 3494 batches | rec loss 0.3377 | dis loss 0.0857 |
[2019-05-12 22:46:23]: | epoch  10 |  3400/ 3494 batches | rec loss 0.3125 | dis loss 0.0714 |
[2019-05-12 22:46:39]: | end of epoch  10 | time: 348.03s |
[2019-05-12 22:46:39]: | epoch  11 |     0/ 3494 batches | rec loss 0.3428 | dis loss 0.1690 |
[2019-05-12 22:47:13]: | epoch  11 |   200/ 3494 batches | rec loss 0.2889 | dis loss 0.1660 |
[2019-05-12 22:47:46]: | epoch  11 |   400/ 3494 batches | rec loss 0.3448 | dis loss 0.1971 |
[2019-05-12 22:48:19]: | epoch  11 |   600/ 3494 batches | rec loss 0.2935 | dis loss 0.1211 |
